Energy[eV]	Img
17.7778	0.001127
17.8889	0.00111099
18	0.001095
18.1111	0.00107901
18.2222	0.00106316
18.3333	0.0010475
18.4444	0.00103212
18.5556	0.00101709
18.6667	0.00100238
18.7778	0.000988037
18.8889	0.000974036
19	0.000960389
19.1111	0.000947054
19.2222	0.000933961
19.3333	0.000921074
19.4444	0.000908354
19.5556	0.000895794
19.6667	0.00088352
19.7778	0.000871461
19.8889	0.000859517
20	0.000847581
20.1111	0.000834478
20.2222	0.00081997
20.3333	0.00080543
20.4444	0.000792193
20.5556	0.000781113
20.6667	0.000770541
20.7778	0.00076011
20.8889	0.000749826
21	0.000739663
21.1111	0.000729621
21.2222	0.00071968
21.3333	0.000709847
21.4444	0.000700122
21.5556	0.000690527
21.6667	0.0006812
21.7778	0.000672057
21.8889	0.000662975
22	0.000653842
22.1111	0.000644038
22.2222	0.000633455
22.3333	0.00062276
22.4444	0.000612584
22.5556	0.000603356
22.6667	0.000594501
22.7778	0.000585844
22.8889	0.000577422
23	0.000569257
23.1111	0.000561305
23.2222	0.000553473
23.3333	0.000545724
23.4444	0.00053802
23.5556	0.000530324
23.6667	0.000522636
23.7778	0.000514964
23.8889	0.000507318
24	0.000499686
24.1111	0.000491826
24.2222	0.000483567
24.3333	0.00047523
24.4444	0.000467104
24.5556	0.000459479
24.6667	0.000452496
24.7778	0.000446036
24.8889	0.000439958
25	0.00043415
25.1111	0.000429665
25.2222	0.000426764
25.3333	0.000424061
25.4444	0.000420202
25.5556	0.000414131
25.6667	0.000406503
25.7778	0.000398248
25.8889	0.000388349
26	0.000382962
26.1111	0.000376479
26.2222	0.000370151
26.3333	0.000364158
26.4444	0.000358691
26.5556	0.000353924
26.6667	0.000349815
26.7778	0.00034599
26.8889	0.00034207
27	0.000337677
27.1111	0.000332908
27.2222	0.000328152
27.3333	0.000323431
27.4444	0.000318769
27.5556	0.00031419
27.6667	0.000309685
27.7778	0.000305231
27.8889	0.000300814
28	0.000296409
28.1111	0.000291496
28.2222	0.000286016
28.3333	0.000280668
28.4444	0.000276137
28.5556	0.000272855
28.6667	0.00026987
28.7778	0.000266972
28.8889	0.000264122
29	0.000261297
29.1111	0.00025854
29.2222	0.000255856
29.3333	0.00025315
29.4444	0.000250331
29.5556	0.000247316
29.6667	0.000244127
29.7778	0.000240841
29.8889	0.000237535
30	0.000234285
30.1111	0.000231087
30.2222	0.000227897
30.3333	0.000224728
30.4444	0.000221591
30.5556	0.000218643
30.6667	0.000216556
30.7778	0.000214882
30.8889	0.000212988
31	0.000210239
31.1111	0.000206415
31.2222	0.00020197
31.3333	0.000197338
31.4444	0.000192941
31.5556	0.000189088
31.6667	0.000185407
31.7778	0.000181854
31.8889	0.000178476
32	0.000175326
32.1111	0.000172481
32.2222	0.000169969
32.3333	0.000167765
32.4444	0.000165844
32.5556	0.00016424
32.6667	0.000163151
32.7778	0.000162307
32.8889	0.00016138
33	0.000160036
33.1111	0.00015818
33.2222	0.000156063
33.3333	0.000153903
33.4444	0.000151914
33.5556	0.000150323
33.6667	0.000149203
33.7778	0.000148246
33.8889	0.000147125
34	0.000145509
34.1111	0.000143455
34.2222	0.000141324
34.3333	0.000139171
34.4444	0.000137059
34.5556	0.00013504
34.6667	0.00013306
34.7778	0.000131123
34.8889	0.000129246
35	0.000127448
35.1111	0.000126104
35.2222	0.000125302
35.3333	0.000124641
35.4444	0.000123735
35.5556	0.000122295
35.6667	0.000120555
35.7778	0.000118712
35.8889	0.000116927
36	0.00011537
36.1111	0.000113992
36.2222	0.000112643
36.3333	0.000111364
36.4444	0.000110187
36.5556	0.000109136
36.6667	0.000108165
36.7778	0.000107223
36.8889	0.000106266
37	0.000105248
37.1111	0.000104192
37.2222	0.00010314
37.3333	0.000102096
37.4444	0.000101059
37.5556	0.000100033
37.6667	9.90244e-05
37.7778	9.81761e-05
37.8889	9.68778e-05
38	9.59099e-05
38.1111	9.45881e-05
38.2222	9.2837e-05
38.3333	9.09941e-05
38.4444	8.93929e-05
38.5556	8.83779e-05
38.6667	8.82176e-05
38.7778	8.84617e-05
38.8889	8.85832e-05
