Data table for Real componets Re[epsilon] for Argon gas
Re values are multiplied by 1e4 to better display the scale
Energy[eV]	Re*1e4
26.7	-0.000257075
26.72	-0.000257737
26.74	-0.000258398
26.76	-0.000259056
26.78	-0.000259714
26.8	-0.00026037
26.82	-0.000261023
26.84	-0.000261676
26.86	-0.000262325
26.88	-0.000262972
26.9	-0.000263616
26.92	-0.000264256
26.94	-0.000264893
26.96	-0.000265526
26.98	-0.000266153
27	-0.000266775
27.02	-0.000267392
27.04	-0.000268006
27.06	-0.00026861
27.08	-0.000269209
27.1	-0.000269799
27.12	-0.000270385
27.14	-0.000270963
27.16	-0.000271535
27.18	-0.000272099
27.2	-0.000272655
27.22	-0.000273206
27.24	-0.000273749
27.26	-0.000274286
27.28	-0.000274815
27.3	-0.000275336
27.32	-0.000275851
27.34	-0.00027636
27.36	-0.000276862
27.38	-0.000277357
27.4	-0.000277846
27.42	-0.000278331
27.44	-0.000278808
27.46	-0.000279281
27.48	-0.000279746
27.5	-0.00028021
27.52	-0.000280669
27.54	-0.000281125
27.56	-0.000281578
27.58	-0.000282028
27.6	-0.000282476
27.62	-0.000282923
27.64	-0.000283369
27.66	-0.000283816
27.68	-0.000284263
27.7	-0.000284713
27.72	-0.00028516
27.74	-0.000285609
27.76	-0.00028606
27.78	-0.00028651
27.8	-0.000286964
27.82	-0.000287419
27.84	-0.000287876
27.86	-0.000288334
27.88	-0.000288793
27.9	-0.000289254
27.92	-0.000289716
27.94	-0.00029018
27.96	-0.000290644
27.98	-0.000291111
28	-0.00029158
28.02	-0.000292049
28.04	-0.000292518
28.06	-0.000292987
28.08	-0.000293458
28.1	-0.000293931
28.12	-0.000294401
28.14	-0.000294872
28.16	-0.000295337
28.18	-0.000295804
28.2	-0.000296266
28.22	-0.000296727
28.24	-0.000297184
28.26	-0.000297637
28.28	-0.000298086
28.3	-0.000298529
28.32	-0.000298964
28.34	-0.000299395
28.36	-0.000299821
28.38	-0.000300239
28.4	-0.000300652
28.42	-0.000301062
28.44	-0.000301465
28.46	-0.00030186
28.48	-0.000302244
28.5	-0.000302624
28.52	-0.000302998
28.54	-0.000303365
28.56	-0.000303727
28.58	-0.000304082
28.6	-0.00030443
28.62	-0.000304773
28.64	-0.000305109
28.66	-0.000305439
28.68	-0.000305764
28.7	-0.000306086
28.72	-0.000306394
28.74	-0.0003067
28.76	-0.000307003
28.78	-0.000307302
28.8	-0.000307593
28.82	-0.000307919
28.84	-0.000308171
28.86	-0.000308456
28.88	-0.000308738
28.9	-0.000309018
28.92	-0.000309298
28.94	-0.000309576
28.96	-0.000309855
28.98	-0.000310135
29	-0.000310412
29.02	-0.000310692
29.04	-0.000310973
29.06	-0.000311253
29.08	-0.000311535
