Data table for Imaginary Im[epsilon] and real componets Re[epsilon] for Argon gas
Re and Im values are multiplied by 1e4 to better display the scale
Energy[eV]	Re*1e4	Im*1e4
0	-nan	657	-0.275681
0	-nan	658	-0.275255
0	-nan	659	-0.274787
0	-nan	660	-0.274302
0	-nan	661	-0.273857
0	-nan	662	-0.273407
0	-nan	663	-0.272957
0	-nan	664	-0.272506
0	-nan	665	-0.272123
0	-nan	666	-0.271614
0	-nan	667	-0.271093
0	-nan	668	-0.270724
0	-nan	669	-0.270287
0	-nan	670	-0.269846
0	-nan	671	-0.269407
0	-nan	672	-0.26897
0	-nan	673	-0.268534
0	-nan	674	-0.2681
0	-nan	675	-0.267667
0	-nan	676	-0.267231
0	-nan	677	-0.266784
0	-nan	678	-0.266374
0	-nan	679	-0.265946
0	-nan	680	-0.26552
0	-nan	681	-0.265127
0	-nan	682	-0.264671
0	-nan	683	-0.264248
0	-nan	684	-0.263826
0	-nan	685	-0.263407
0	-nan	686	-0.262986
0	-nan	687	-0.262569
0	-nan	688	-0.262151
0	-nan	689	-0.261575
0	-nan	690	-0.26129
0	-nan	691	-0.260909
0	-nan	692	-0.260498
0	-nan	693	-0.260089
0	-nan	694	-0.259677
0	-nan	695	-0.259272
0	-nan	696	-0.258869
0	-nan	697	-0.258459
0	-nan	698	-0.258056
0	-nan	699	-0.257738
0	-nan	700	-0.257251
0	-nan	701	-0.25685
0	-nan	702	-0.25645
0	-nan	703	-0.256046
0	-nan	704	-0.255653
0	-nan	705	-0.25526
0	-nan	706	-0.254863
0	-nan	707	-0.254469
0	-nan	708	-0.254075
0	-nan	709	-0.253687
0	-nan	710	-0.253294
0	-nan	711	-0.252905
0	-nan	712	-0.252516
0	-nan	713	-0.252128
0	-nan	714	-0.251746
0	-nan	715	-0.251362
0	-nan	716	-0.250976
0	-nan	717	-0.250594
0	-nan	718	-0.250214
0	-nan	719	-0.249836
0	-nan	720	-0.249455
0	-nan	721	-0.249077
0	-nan	722	-0.248701
0	-nan	723	-0.248325
0	-nan	724	-0.247947
0	-nan	725	-0.247576
0	-nan	726	-0.247203
0	-nan	727	-0.246848
0	-nan	728	-0.246487
0	-nan	729	-0.246093
0	-nan	730	-0.245725
0	-nan	731	-0.245358
0	-nan	732	-0.244992
0	-nan	733	-0.244627
0	-nan	734	-0.244261
