Data table for Real componets Re[epsilon] for Argon gas
Re values are multiplied by 1e4 to better display the scale
Energy[eV]	Re*1e4
435.455	-0.158287
436.364	-0.158293
437.273	-0.158294
438.182	-0.15829
439.091	-0.158282
440	-0.158262
440.909	-0.158245
441.818	-0.158223
442.727	-0.158198
443.636	-0.158168
444.545	-0.158134
445.455	-0.158096
446.364	-0.158054
447.273	-0.158008
448.182	-0.157959
449.091	-0.157905
450	-0.157849
450.909	-0.157788
451.818	-0.157724
452.727	-0.157657
453.636	-0.157586
454.545	-0.157518
455.455	-0.157434
456.364	-0.157354
457.273	-0.15727
458.182	-0.157184
459.091	-0.157094
460	-0.157002
460.909	-0.156906
461.818	-0.156808
462.727	-0.156707
463.636	-0.156603
464.545	-0.156496
465.455	-0.156387
466.364	-0.156276
467.273	-0.156159
468.182	-0.156042
469.091	-0.155923
470	-0.155802
470.909	-0.155678
471.818	-0.155552
472.727	-0.155424
473.636	-0.155293
474.545	-0.155161
475.455	-0.155026
476.364	-0.154889
477.273	-0.15475
478.182	-0.154609
479.091	-0.154467
480	-0.154322
480.909	-0.154176
481.818	-0.154027
482.727	-0.153877
483.636	-0.153725
484.545	-0.153572
485.455	-0.153416
486.364	-0.153259
487.273	-0.153101
488.182	-0.15294
489.091	-0.152779
490	-0.152616
490.909	-0.152451
491.818	-0.152285
492.727	-0.152117
493.636	-0.151948
494.545	-0.151778
495.455	-0.151606
496.364	-0.151433
497.273	-0.151259
498.182	-0.151083
499.091	-0.150907
500	-0.150729
500.909	-0.15055
501.818	-0.150369
502.727	-0.150188
503.636	-0.150006
504.545	-0.149822
505.455	-0.149637
506.364	-0.149452
507.273	-0.149265
508.182	-0.149078
509.091	-0.148889
510	-0.1487
510.909	-0.148509
511.818	-0.148318
512.727	-0.148126
513.636	-0.147933
514.545	-0.14774
515.455	-0.147545
516.364	-0.14735
517.273	-0.147154
518.182	-0.146957
519.091	-0.146759
520	-0.146561
520.909	-0.146362
521.818	-0.146162
522.727	-0.145962
523.636	-0.145761
524.545	-0.14556
525.455	-0.145358
526.364	-0.145155
527.273	-0.144952
528.182	-0.144748
529.091	-0.144544
530	-0.144339
530.909	-0.144134
531.818	-0.143928
532.727	-0.143722
